Имя,Главная категория,Побочная категория,Артикул,Ссылка на картинку,Характеристика,Описание,Ссылка на товар,Цена
Компьютер Acer Veriton ES2710G DT.VQEER.028,KNS_Компьютеры,Компьютеры Acer,ID: 562724,https://cdn.kns.ru/linkpics/acer-veriton-es2710g-dt-vqeer-028-0.jpg,Модель CPU Intel Core i3 7100 Тактовая частота CPU 3.9 ГГц Количество ядер процессора 2 ядра Объём 4096 Мб Объем диска HDD 1000 Гб Графический чипсет Intel HD Graphics 630 Объем видеопамяти использует системную Операционная система Microsoft Windows 10 Professional,,https://www.kns.ru/product/kompyuter-acer-veriton-es2710g-dt-vqeer-028/,35802
Компьютер Acer Veriton E430 DT.VGAER.004,KNS_Компьютеры,Компьютеры Acer,ID: 409967,https://cdn.kns.ru/linkpics/acer-veriton-e430--dt-vgaer-004--0.jpg,Модель CPU Intel Pentium G645 Тактовая частота CPU 2.9 ГГц Объём 4096 Мб Объем диска HDD 500 Гб Графический чипсет Intel GMA Объем видеопамяти использует системную Операционная система Microsoft Windows 7 Professional,,https://www.kns.ru/product/kompyuter-acer-veriton-e430-dt-vgaer-004/,34258
Компьютер Acer Veriton ES2710G DT.VQEER.027,KNS_Компьютеры,Компьютеры Acer,ID: 562725,https://cdn.kns.ru/linkpics/acer-veriton-es2710g-dt-vqeer-027-0.jpg,Модель CPU Intel Core i5 7400 Тактовая частота CPU 3.0 ГГц Количество ядер процессора 4 ядра Объём 4096 Мб Объем диска SSD 128 Гб Операционная система Microsoft Windows 10 Home,,https://www.kns.ru/product/kompyuter-acer-veriton-es2710g-dt-vqeer-027/,33766
Компьютер Acer Aspire TC-105 DT.SREER.012,KNS_Компьютеры,Компьютеры Acer,ID: 429351,https://cdn.kns.ru/linkpics/acer-aspire-tc-105--dt-sreer-012--0.jpg,Модель CPU AMD A10-6700 Тактовая частота CPU 3.7 Ггц Количество ядер процессора 4 ядра Объём 6144 Мб Объем диска HDD 1000 Гб Графический чипсет ATI Radeon HD 8470 Объем видеопамяти 2048 Мб Операционная система Microsoft Windows 8,,https://www.kns.ru/product/kompyuter-acer-aspire-tc-105-dt-sreer-012/,23676
Компьютер Acer Veriton ES2710G DT.VQEER.035,KNS_Компьютеры,Компьютеры Acer,ID: 565074,https://cdn.kns.ru/linkpics/acer-veriton-es2710g-dt-vqeer-035-0.jpg,Модель CPU Intel Core i5 7400 Тактовая частота CPU 3.0 ГГц Количество ядер процессора 4 ядра Объём 4096 Мб Объем диска SSD 128 Гб Графический чипсет Intel HD Graphics 630 Объем видеопамяти использует системную Операционная система Microsoft Windows 10 Professional,,https://www.kns.ru/product/kompyuter-acer-veriton-es2710g-dt-vqeer-035/,39944
Компьютер Acer Veriton N4620G DT.VH6ER.003,KNS_Компьютеры,Компьютеры Acer,ID: 424608,https://cdn.kns.ru/linkpics/acer-veriton-n4620g--dt-vh6er-003--0.jpg,Модель CPU Intel Core i3 3227U Тактовая частота CPU 1.9 ГГц Объём 4096 Мб Объем диска HDD 500 Гб Графический чипсет Intel HD Graphics Объем видеопамяти использует системную Операционная система DOS,,https://www.kns.ru/product/kompyuter-acer-veriton-n4620g-dt-vh6er-003/,18460
Компьютер Acer Veriton ES2710G DT.VQEER.030,KNS_Компьютеры,Компьютеры Acer,ID: 565267,https://cdn.kns.ru/linkpics/acer-veriton-es2710g-dt-vqeer-030-0.jpg,Модель CPU Intel Core i3 7100 Тактовая частота CPU 3.9 ГГц Количество ядер процессора 2 ядра Объём 4096 Мб Объем диска SSD 256 Гб Графический чипсет Intel HD Graphics 630 Объем видеопамяти использует системную Операционная система Microsoft Windows 10 Professional,,https://www.kns.ru/product/kompyuter-acer-veriton-es2710g-dt-vqeer-030/,38048
Компьютер Acer Veriton X2640G DT.VMXER.033,KNS_Компьютеры,Компьютеры Acer,ID: 528809,https://cdn.kns.ru/linkpics/acer-veriton-x2640g-dt-vmxer-033-0.jpg,Модель CPU Intel Core i7 6700 Тактовая частота CPU 3.4 ГГц Количество ядер процессора 4 ядра Объём 8192 Мб Объем диска HDD 1000 Гб Графический чипсет Radeon R7 340 Объем видеопамяти 2048 Мб Операционная система DOS,,https://www.kns.ru/product/kompyuter-acer-veriton-x2640g-dt-vmxer-033/,56556
Компьютер Acer Veriton ES2710G DT.VQEER.031,KNS_Компьютеры,Компьютеры Acer,ID: 565268,https://cdn.kns.ru/linkpics/acer-veriton-es2710g-dt-vqeer-031-0.jpg,Модель CPU Intel Core i3 7100 Тактовая частота CPU 3.9 ГГц Количество ядер процессора 2 ядра Объём 8192 Мб Объем диска HDD 1000 Гб Графический чипсет Intel HD Graphics 630 Объем видеопамяти использует системную Операционная система Microsoft Windows 10 Professional,,https://www.kns.ru/product/kompyuter-acer-veriton-es2710g-dt-vqeer-031/,37206
Компьютер Acer Veriton X2640G DT.VN5ER.070,KNS_Компьютеры,Компьютеры Acer,ID: 536040,https://cdn.kns.ru/linkpics/acer-veriton-x2640g-dt-vn5er-070-0.jpg,Модель CPU Intel Pentium G4400 Тактовая частота CPU 3.3 ГГц Количество ядер процессора 2 ядра Объём 4096 Мб Объем диска HDD 500 Гб Графический чипсет Intel HD Graphics 510 Объем видеопамяти использует системную Операционная система Windows 7 Pro + Windows 10 Pro,,https://www.kns.ru/product/kompyuter-acer-veriton-x2640g-dt-vn5er-070/,33341
